"","well","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","WELL-00001_20140124213136","P-MON-CKP",0,0,NA,NA,NA,0,0,0,0,NA,NA,0.01,0,0
"2","WELL-00001_20140124213136","P-TPT",NA,0,NA,NA,0.01,0,0,NA,0,NA,NA,0.02,0,0
"3","WELL-00001_20140124213136","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,0
"4","WELL-00001_20140124213136","T-TPT",NA,NA,NA,NA,0.01,NA,0,NA,NA,NA,0,0.01,NA,0
"5","WELL-00001_20140124213136","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WELL-00001_20140124213136","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WELL-00002_20140126200050","P-MON-CKP",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.01,0,0
"8","WELL-00002_20140126200050","P-TPT",NA,NA,0.02,NA,NA,NA,NA,NA,NA,0.02,NA,0.01,NA,NA
"9","WELL-00002_20140126200050","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","WELL-00002_20140126200050","T-TPT",NA,NA,NA,0,NA,NA,0,NA,NA,NA,0,0.01,NA,0
"11","WELL-00002_20140126200050","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","WELL-00002_20140126200050","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","WELL-00006_20170801063614","P-MON-CKP",0,0,NA,NA,NA,0,0,0,0,0.13,NA,0,0,0
"14","WELL-00006_20170801063614","P-TPT",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0
"15","WELL-00006_20170801063614","T-JUS-CKP",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0
"16","WELL-00006_20170801063614","T-TPT",NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA
"17","WELL-00006_20170801063614","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"18","WELL-00006_20170801063614","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","WELL-00006_20170802123000","P-MON-CKP",0.01,NA,NA,0,NA,0.01,0,0.01,NA,NA,0,0,0.01,0
"20","WELL-00006_20170802123000","P-TPT",NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
"21","WELL-00006_20170802123000","T-JUS-CKP",NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,NA
"22","WELL-00006_20170802123000","T-TPT",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,0
"23","WELL-00006_20170802123000","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"24","WELL-00006_20170802123000","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","WELL-00006_20180618060245","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","WELL-00006_20180618060245","P-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","WELL-00006_20180618060245","T-JUS-CKP",NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,0,0
"28","WELL-00006_20180618060245","T-TPT",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0
"29","WELL-00006_20180618060245","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"30","WELL-00006_20180618060245","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
