"","well","var","CF_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","DE_hard","CF_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft","DE_soft"
"1","WELL-00002_20131104014101","P-JUS-CKGL",0,NA,NA,NA,0,0,NA,0,NA,NA,0.01,0,0,NA
"2","WELL-00002_20131104014101","P-MON-CKP",NA,NA,NA,NA,0,0,NA,0.01,NA,NA,0.01,0,0,NA
"3","WELL-00002_20131104014101","P-TPT",NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.02,0,0,NA
"4","WELL-00002_20131104014101","T-TPT",NA,NA,0,0.01,0,0,NA,NA,NA,0,0.02,0,0,NA
"5","WELL-00002_20131104014101","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WELL-00002_20131104014101","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WELL-00002_20131104014101","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","WELL-00003_20141122214325","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","WELL-00003_20141122214325","P-MON-CKP",NA,NA,0.02,NA,NA,NA,NA,0,NA,0.02,0,NA,0,NA
"10","WELL-00003_20141122214325","P-TPT",NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,0,0.01,0,0
"11","WELL-00003_20141122214325","T-TPT",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.01,NA,0,0
"12","WELL-00003_20141122214325","P-PDG",NA,NA,NA,NA,NA,0,0,NA,0.11,NA,0.01,0,0,0
"13","WELL-00003_20141122214325","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","WELL-00003_20141122214325","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","WELL-00003_20170728150240","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","WELL-00003_20170728150240","P-MON-CKP",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.01,0.23,0,NA
"17","WELL-00003_20170728150240","P-TPT",NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.01,0,0,NA
"18","WELL-00003_20170728150240","T-TPT",NA,NA,NA,NA,NA,0,NA,NA,NA,0,0.01,0,0,NA
"19","WELL-00003_20170728150240","P-PDG",NA,NA,NA,NA,0,0,NA,0,0.02,NA,0.01,0,0,NA
"20","WELL-00003_20170728150240","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","WELL-00003_20170728150240","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","WELL-00003_20180206182917","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","WELL-00003_20180206182917","P-MON-CKP",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.02,NA,0,NA
"24","WELL-00003_20180206182917","P-TPT",NA,NA,NA,NA,0.03,0,NA,NA,NA,NA,NA,0.03,0,NA
"25","WELL-00003_20180206182917","T-TPT",NA,NA,NA,NA,0,0,NA,0.02,NA,NA,0.01,0,0,NA
"26","WELL-00003_20180206182917","P-PDG",NA,NA,NA,NA,0,0,NA,NA,NA,NA,0.01,0,0,NA
"27","WELL-00003_20180206182917","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","WELL-00003_20180206182917","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","WELL-00009_20170313160804","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"30","WELL-00009_20170313160804","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","WELL-00009_20170313160804","P-TPT",NA,0.12,NA,0.02,NA,0,NA,NA,0.12,NA,0.03,NA,0,NA
"32","WELL-00009_20170313160804","T-TPT",0.01,NA,NA,NA,NA,0,NA,0.01,0.19,NA,0,NA,0,NA
"33","WELL-00009_20170313160804","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","WELL-00009_20170313160804","T-JUS-CKP",NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA,0,NA
"35","WELL-00009_20170313160804","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","WELL-00010_20171218200131","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","WELL-00010_20171218200131","P-MON-CKP",NA,0.25,NA,NA,NA,0,NA,NA,0.25,NA,0.02,NA,0,NA
"38","WELL-00010_20171218200131","P-TPT",NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,0.01,NA
"39","WELL-00010_20171218200131","T-TPT",NA,NA,NA,NA,NA,0.01,NA,0.16,NA,0.01,0.01,0.01,0.01,NA
"40","WELL-00010_20171218200131","P-PDG",NA,NA,NA,0.01,0,0,NA,NA,NA,NA,0.02,0.01,0,NA
"41","WELL-00010_20171218200131","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"42","WELL-00010_20171218200131","QGL",NA,NA,NA,0.01,NA,NA,NA,0.01,NA,0,0.01,NA,NA,NA
"43","WELL-00011_20140530100015","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","WELL-00011_20140530100015","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","WELL-00011_20140530100015","P-TPT",NA,NA,NA,NA,NA,0.01,NA,0.01,0.13,NA,0.01,0.01,0.01,NA
"46","WELL-00011_20140530100015","T-TPT",0.01,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA
"47","WELL-00011_20140530100015","P-PDG",NA,NA,NA,NA,0.01,0.01,NA,NA,0.16,NA,0.03,0.01,0.01,NA
"48","WELL-00011_20140530100015","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","WELL-00011_20140530100015","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","WELL-00011_20140606230115","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","WELL-00011_20140606230115","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","WELL-00011_20140606230115","P-TPT",NA,NA,NA,NA,0,0,0,NA,0.01,NA,0,0,0,0
"53","WELL-00011_20140606230115","T-TPT",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
"54","WELL-00011_20140606230115","P-PDG",NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,0
"55","WELL-00011_20140606230115","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","WELL-00011_20140606230115","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","WELL-00011_20140720120102","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","WELL-00011_20140720120102","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","WELL-00011_20140720120102","P-TPT",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA
"60","WELL-00011_20140720120102","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"61","WELL-00011_20140720120102","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","WELL-00011_20140720120102","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","WELL-00011_20140720120102","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","WELL-00011_20140726180015","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","WELL-00011_20140726180015","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","WELL-00011_20140726180015","P-TPT",0.02,NA,NA,NA,NA,0,NA,0.02,NA,NA,0.01,0.02,0,NA
"67","WELL-00011_20140726180015","T-TPT",0.02,NA,NA,NA,NA,NA,NA,0.02,NA,NA,0.02,NA,0,NA
"68","WELL-00011_20140726180015","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","WELL-00011_20140726180015","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","WELL-00011_20140726180015","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","WELL-00011_20140824000118","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","WELL-00011_20140824000118","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","WELL-00011_20140824000118","P-TPT",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA
"74","WELL-00011_20140824000118","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"75","WELL-00011_20140824000118","P-PDG",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA
"76","WELL-00011_20140824000118","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","WELL-00011_20140824000118","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","WELL-00011_20140916060300","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","WELL-00011_20140916060300","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","WELL-00011_20140916060300","P-TPT",NA,NA,NA,NA,NA,0,NA,NA,0.05,NA,0,0,0,NA
"81","WELL-00011_20140916060300","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","WELL-00011_20140916060300","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"83","WELL-00011_20140916060300","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","WELL-00011_20140916060300","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","WELL-00011_20140921200031","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","WELL-00011_20140921200031","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","WELL-00011_20140921200031","P-TPT",NA,NA,NA,NA,NA,0,NA,0,0.08,NA,0.01,0,0,NA
"88","WELL-00011_20140921200031","T-TPT",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"89","WELL-00011_20140921200031","P-PDG",NA,NA,NA,NA,NA,0,NA,NA,0.03,NA,0.02,0,0,NA
"90","WELL-00011_20140921200031","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","WELL-00011_20140921200031","QGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","WELL-00011_20140928100056","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","WELL-00011_20140928100056","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","WELL-00011_20140928100056","P-TPT",0.02,NA,NA,NA,0,0,NA,0.02,0.23,NA,0.01,0,0,NA
"95","WELL-00011_20140928100056","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
