"","well","var","CF_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","WELL-00002_20140212170333","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA
"2","WELL-00002_20140212170333","P-MON-CKP",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0
"3","WELL-00002_20140212170333","P-TPT",NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"4","WELL-00002_20140212170333","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
"5","WELL-00002_20140212170333","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"6","WELL-00002_20140301151700","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA
"7","WELL-00002_20140301151700","P-MON-CKP",0,NA,NA,NA,0,0,0,NA,NA,NA,0,0
"8","WELL-00002_20140301151700","P-TPT",0,NA,NA,NA,0,0,0,NA,NA,NA,0,0
"9","WELL-00002_20140301151700","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA
"10","WELL-00002_20140301151700","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"11","WELL-00002_20140325170304","P-JUS-CKGL",NA,NA,NA,NA,NA,0,NA,NA,NA,0.01,NA,0
"12","WELL-00002_20140325170304","P-MON-CKP",NA,NA,NA,NA,0,NA,NA,NA,NA,0.01,0,NA
"13","WELL-00002_20140325170304","P-TPT",NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA
"14","WELL-00002_20140325170304","T-JUS-CKP",NA,NA,0,NA,NA,NA,NA,NA,0,0.01,NA,0
"15","WELL-00002_20140325170304","T-TPT",NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0
"16","WELL-00004_20171031181509","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WELL-00004_20171031181509","P-MON-CKP",NA,NA,NA,NA,0,0.01,NA,NA,NA,0.02,0,0.01
"18","WELL-00004_20171031181509","P-TPT",NA,NA,0,NA,NA,0,0.12,0.01,0.01,0.03,0.01,0
"19","WELL-00004_20171031181509","T-JUS-CKP",NA,NA,0,NA,0,0.01,NA,NA,0,NA,0,0.01
"20","WELL-00004_20171031181509","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA
"21","WELL-00004_20171031193025","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","WELL-00004_20171031193025","P-MON-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","WELL-00004_20171031193025","P-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","WELL-00004_20171031193025","T-JUS-CKP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","WELL-00004_20171031193025","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","WELL-00004_20171031200059","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","WELL-00004_20171031200059","P-MON-CKP",0.03,NA,NA,NA,NA,0.01,0.03,0.2,NA,NA,NA,0.01
"28","WELL-00004_20171031200059","P-TPT",NA,NA,NA,NA,NA,NA,0.09,NA,0.01,0.02,NA,NA
"29","WELL-00004_20171031200059","T-JUS-CKP",NA,NA,NA,0.04,NA,0.01,NA,NA,NA,0.05,NA,0.01
"30","WELL-00004_20171031200059","T-TPT",NA,NA,NA,NA,NA,NA,NA,0.06,0.01,0.04,0.01,0.01
