"","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","ec2_cpu_utilization_24ae8d",0.1,0,0.13,0,0.03,0.03,0.01,0.1,0,0.13,0.01,0.03,0.03,0.01
"2","ec2_cpu_utilization_53ea38",0.01,NA,NA,NA,0.02,NA,0.01,0.01,0.05,0.01,NA,0.02,0.01,0.01
"3","ec2_cpu_utilization_5f5533",0.01,0.5,0.15,NA,NA,0.01,0.01,0.01,0.5,0.15,0.07,0.03,0.01,0.01
"4","ec2_cpu_utilization_77c1ca",0,0,0.02,NA,0.02,0,NA,0,0,0.02,NA,0.02,0,NA
"5","ec2_cpu_utilization_825cc2",0.03,0.03,0.08,0.01,0.02,0.05,0.01,0.03,0.03,0.08,0.01,0.04,0.09,0.01
"6","ec2_cpu_utilization_ac20cd",NA,0,0.05,0.01,0.02,0.02,0,0.01,0,0.05,0.01,0.02,0.02,0
"7","ec2_cpu_utilization_fe7f93",0.01,0.01,0.01,0.01,NA,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.01
"8","ec2_disk_write_bytes_1ef3de",0.01,0,0.02,0,0.02,0.01,0,0.01,0,0.02,0,0.02,0.01,0
"9","ec2_disk_write_bytes_c0d644",0.01,0.01,0.03,NA,NA,0.01,0.01,0.01,0.01,0.03,NA,0.01,0.01,0.01
"10","ec2_network_in_257a54",0.01,0,0.04,NA,0.02,0.01,0,0.01,0,0.04,0.02,0.02,0.01,0
"11","ec2_network_in_5abac7",0.02,0.01,0.04,NA,NA,0.01,0.01,0.02,0.01,0.04,0.01,0.02,0.01,0.01
"12","elb_request_count_8c0756",0.01,0.07,0.03,NA,NA,0.02,0.01,0.01,0.14,0.05,0.03,0.03,0.03,0.01
"13","grok_asg_anomaly",NA,0.01,0.05,NA,0.03,0.01,0,0.09,0.01,0.05,0.01,0.04,0.01,0.01
"14","iio_us-east-1_i-a2eb1cd9_NetworkIn",0.06,0.03,0.11,0.02,0.05,0.05,0.02,0.06,0.03,0.19,0.02,0.09,0.05,0.02
"15","rds_cpu_utilization_cc0c53",0.13,0.01,0.04,0,0.02,0.01,0.01,0.13,0.01,0.04,0,0.03,0.01,0.01
"16","rds_cpu_utilization_e47b3b",0.15,0.5,0.12,NA,0.04,0.07,0.01,0.23,0.5,0.12,0.01,0.04,0.07,0.01
