"","var","CF_hard","CNN_hard","ELM_hard","EWMA_hard","GARCH_hard","K-MEANS_hard","KNN_hard","NA_hard","NNET_hard","SCP_hard","SVM_hard","CF_soft","CNN_soft","ELM_soft","EWMA_soft","GARCH_soft","K-MEANS_soft","KNN_soft","NA_soft","NNET_soft","SCP_soft","SVM_soft"
"1","serie1",0.06,0.02,NA,0.29,0.02,0.06,0.05,0.14,0.03,0.03,0.03,0.06,0.02,NA,0.29,0.02,0.06,0.05,0.14,0.03,0.03,0.03
"2","serie10",0.37,0.12,0.06,0.06,0.2,0.47,0.04,0.54,0.15,NA,0.01,0.37,0.12,0.06,0.06,0.22,0.47,0.04,0.54,0.15,0,0.01
"3","serie11",0.26,0.18,0.2,0.32,0.21,0.85,0.07,0.33,0.19,NA,0.29,0.26,0.18,0.2,0.32,0.22,0.85,0.07,0.33,0.19,0.01,0.29
"4","serie12",0.11,0.03,0.04,0.21,0.02,0.13,0.05,0.19,0.05,0.03,0.05,0.11,0.03,0.04,0.21,0.02,0.13,0.08,0.19,0.05,0.03,0.05
"5","serie13",0.55,0.09,0.14,0.4,0.16,0.63,0.11,0.59,0.14,NA,0.06,0.55,0.11,0.14,0.4,0.16,0.63,0.15,0.59,0.15,0.04,0.07
"6","serie14",0.06,0.02,0.02,0.07,0.02,0.07,0.05,0.11,0.02,0.02,0.03,0.06,0.02,0.02,0.07,0.02,0.07,0.05,0.11,0.02,0.02,0.03
"7","serie15",0.59,0.11,0.1,0.46,0.13,0.62,0.08,0.67,0.12,NA,0.07,0.59,0.16,0.11,0.46,0.13,0.62,0.14,0.67,0.14,0.04,0.07
"8","serie16",0.14,0.03,0.04,0.67,0.04,0.17,0.05,0.67,0.04,0.07,0.03,0.14,0.03,0.04,0.67,0.04,0.17,0.07,0.67,0.04,0.07,0.03
"9","serie17",0.76,0.54,0.58,0.07,0.89,0.84,0.05,0.74,0.8,0.68,0.51,0.76,0.55,0.58,0.07,0.89,0.84,0.07,0.74,0.8,0.68,0.51
"10","serie18",0.21,NA,0.02,NA,NA,0.5,0.05,NA,0.05,NA,0.02,0.21,0.01,0.03,NA,NA,0.5,0.05,NA,0.05,0.09,0.02
"11","serie19",0.69,0.46,0.66,0.05,0.81,0.86,0.05,0.64,0.72,0.63,0.52,0.69,0.47,0.66,0.05,0.81,0.86,0.07,0.64,0.72,0.63,0.52
"12","serie2",0.15,0.17,0.29,0.25,0.15,0.19,0.04,0.34,0.15,0.03,0.03,0.15,0.17,0.29,0.25,0.15,0.19,0.05,0.34,0.15,0.03,0.03
"13","serie20",0.21,0.07,0.06,0.11,0.02,0.01,0.09,0.1,0.07,0.1,0.05,0.21,0.07,0.06,0.11,0.03,0.01,0.12,0.1,0.08,0.1,0.05
"14","serie21",0.32,0.07,0.07,0.24,0.06,0.57,0.05,0.39,0.09,0.02,0.06,0.32,0.07,0.07,0.24,0.07,0.57,0.09,0.39,0.09,0.04,0.06
"15","serie22",0.79,0.52,0.38,0.07,0.48,0.9,0.04,0.61,0.42,0.29,0.07,0.79,0.52,0.38,0.07,0.48,0.9,0.04,0.61,0.42,0.29,0.07
"16","serie23",0.46,0.08,0.17,0.23,0.19,0.41,0.07,0.6,0.23,0.18,0.15,0.46,0.11,0.2,0.23,0.22,0.46,0.22,0.6,0.23,0.24,0.17
"17","serie24",0.46,0.14,0.06,0.25,0.24,0.54,0.07,0.89,0.22,0.02,0.1,0.46,0.14,0.06,0.25,0.27,0.58,0.09,0.89,0.22,0.04,0.1
"18","serie25",1,NA,NA,0.05,0.33,0.95,0.02,0.48,NA,0.23,NA,1,NA,NA,0.05,0.33,0.95,0.02,0.48,NA,0.23,NA
"19","serie26",NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,0,0.02,0.03,0.05,NA,NA,0.09,NA,0.03,NA,0.03
"20","serie27",0.17,0.02,0.03,1,0.02,0.5,0.1,0.67,0.03,0.08,0.02,0.17,0.02,0.03,1,0.04,0.5,0.1,0.67,0.03,0.08,0.02
"21","serie28",0.18,0.01,0.02,0.02,0.01,NA,0.05,0.05,0.03,0.06,0.03,0.18,0.03,0.03,0.04,0.04,NA,0.06,0.05,0.03,0.07,0.03
"22","serie29",0.24,0.02,0.1,0.77,0.05,0.16,0.04,0.71,0.07,0.13,0.08,0.24,0.06,0.1,0.77,0.07,0.16,0.15,0.71,0.07,0.19,0.08
"23","serie3",1,0.19,0.16,0.24,0.21,0.83,0.04,1,0.2,NA,0.03,1,0.19,0.16,0.24,0.22,0.83,0.07,1,0.2,0.02,0.03
"24","serie30",0.72,0.09,0.13,0.18,0.17,0.8,NA,1,0.12,NA,0.02,0.72,0.09,0.13,0.18,0.19,0.8,0.07,1,0.12,NA,0.03
"25","serie31",0.38,0.18,0.14,0.14,0.17,0.21,0.03,0.21,0.17,0.16,0.1,0.42,0.18,0.14,0.14,0.17,0.21,0.09,0.21,0.17,0.16,0.1
"26","serie32",0.39,0.31,0.15,0.12,0.46,0.36,0.07,0.04,0.32,0.39,0.32,0.39,0.32,0.16,0.12,0.46,0.36,0.08,0.07,0.32,0.39,0.34
"27","serie33",0.07,0.02,NA,0.11,0.01,0.09,0.05,0.13,0.04,NA,0.04,0.07,0.02,0.01,0.11,0.01,0.09,0.05,0.13,0.04,NA,0.04
"28","serie34",0.67,0.08,0.08,0.25,0.03,0.36,0.04,NA,0.08,0.27,0.05,0.67,0.08,0.09,0.25,0.06,0.36,0.14,NA,0.08,0.27,0.05
"29","serie35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","serie36",0.28,0.03,0.08,0.5,0.06,0.4,0.04,0.77,0.07,0.12,0.05,0.28,0.04,0.08,0.5,0.07,0.4,0.09,0.77,0.07,0.12,0.05
"31","serie37",0.23,0.19,0.12,0.07,0.18,0.18,0.06,0.22,0.2,0.3,0.06,0.23,0.19,0.12,0.07,0.18,0.18,0.1,0.22,0.2,0.3,0.06
