"","well","var","CF_hard","DE_hard","EWMA_hard","GARCH_hard","KNN-CAD_hard","NA_hard","SCP_hard","CF_soft","DE_soft","EWMA_soft","GARCH_soft","KNN-CAD_soft","NA_soft","SCP_soft"
"1","WELL-00019_20170301182317","P-JUS-CKGL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","WELL-00019_20170301182317","P-MON-CKP",0,0,NA,NA,NA,0,0,0,0,NA,NA,0,0,0
"3","WELL-00019_20170301182317","QGL",0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0
"4","WELL-00019_20170301182317","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","WELL-00019_20170301182317","P-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","WELL-00019_20170301182317","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","WELL-00020_20120410192326","P-JUS-CKGL",0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0
"8","WELL-00020_20120410192326","P-MON-CKP",0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
"9","WELL-00020_20120410192326","QGL",0,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA
"10","WELL-00020_20120410192326","P-PDG",0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0.01,NA,0
"11","WELL-00020_20120410192326","P-TPT",0.01,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,0,NA,0
"12","WELL-00020_20120410192326","T-TPT",0,NA,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
"13","WELL-00021_20170509013517","P-JUS-CKGL",NA,NA,NA,NA,NA,0.01,0,NA,NA,NA,NA,0,0.01,0
"14","WELL-00021_20170509013517","P-MON-CKP",0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA
"15","WELL-00021_20170509013517","QGL",0,NA,NA,0,NA,0,0,0,NA,0.02,0,0,0,0
"16","WELL-00021_20170509013517","P-PDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","WELL-00021_20170509013517","P-TPT",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0
"18","WELL-00021_20170509013517","T-TPT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
